,COUNTY,JUDGES
179,"Superior Court of California, County of Fresno",Hon. John F. Vogt
180,"Superior Court of California, County of Fresno",Hon. Denise Lee Whitehead
181,"Superior Court of California, County of Fresno",Hon. Francine Zepeda
182,"Superior Court of California, County of Glenn",Hon. Donald Cole Byrd
183,"Superior Court of California, County of Glenn",Hon. Alicia R. Ekland
184,"Superior Court of California, County of Humboldt",Hon. Timothy Canning
185,"Superior Court of California, County of Humboldt",Hon. Kaleb V. Cockrum
186,"Superior Court of California, County of Humboldt",Hon. Gregory J. Elvine-Kreis
187,"Superior Court of California, County of Humboldt",Hon. Joyce D. Hinrichs
188,"Superior Court of California, County of Humboldt",Hon. Kelly L. Neel
189,"Superior Court of California, County of Humboldt",Hon. Christopher G. Wilson
190,"Superior Court of California, County of Imperial",Hon. Diane B. Altamirano
191,"Superior Court of California, County of Imperial",Hon. L. Brooks Anderholt
192,"Superior Court of California, County of Imperial",Hon. Eran Marie Bermudez
193,"Superior Court of California, County of Imperial","Hon. Poli Flores, Jr."
194,"Superior Court of California, County of Imperial",Hon. Jeffrey Bruce Jones
195,"Superior Court of California, County of Imperial",Hon. William D. Lehman
196,"Superior Court of California, County of Imperial",Hon. Marco D. Nunez
197,"Superior Court of California, County of Imperial",Hon. Christopher J. Plourd
198,"Superior Court of California, County of Imperial",Hon. William D. Quan
199,"Superior Court of California, County of Imperial",Hon. Juan Ulloa
200,"Superior Court of California, County of Inyo",Hon. Brian Lamb
201,"Superior Court of California, County of Inyo",Hon. Stephen M. Place
202,"Superior Court of California, County of Kern",Hon. Jose R. Benavides
203,"Superior Court of California, County of Kern",Hon. Eric Bradshaw
204,"Superior Court of California, County of Kern",Hon. Charles R. Brehmer
205,"Superior Court of California, County of Kern",Hon. John R. Brownlee
206,"Superior Court of California, County of Kern",Hon. Lorna H. Brumfield
207,"Superior Court of California, County of Kern",Hon. Michael G. Bush
208,"Superior Court of California, County of Kern",Hon. Marcos R. Camacho
209,"Superior Court of California, County of Kern",Hon. Gloria J Cannon
210,"Superior Court of California, County of Kern",Hon. Thomas S. Clark
211,"Superior Court of California, County of Kern",Hon. Michael E. Dellostritto
212,"Superior Court of California, County of Kern",Hon. Judith K. Dulcich
213,"Superior Court of California, County of Kern",Hon. John L. Fielder
214,"Superior Court of California, County of Kern",Hon. Therese M. Foley
215,"Superior Court of California, County of Kern",Hon. Susan M. Gill
216,"Superior Court of California, County of Kern",Hon. Kenneth Green
217,"Superior Court of California, County of Kern",Hon. Colette M. Humphrey
218,"Superior Court of California, County of Kern",Hon. Steven M. Katz
219,"Superior Court of California, County of Kern",Hon. David R. Lampe
220,"Superior Court of California, County of Kern",Hon. John W. Lua
221,"Superior Court of California, County of Kern",Hon. Raymonda B. Marquez
222,"Superior Court of California, County of Kern",Hon. Brian M. McNamara
223,"Superior Court of California, County of Kern",Hon. John D. Oglesby
224,"Superior Court of California, County of Kern",Hon. Tiffany Organ-Bowles
225,"Superior Court of California, County of Kern",Hon. Craig Phillips
226,"Superior Court of California, County of Kern",Hon. Kenneth G. Pritchard
227,"Superior Court of California, County of Kern",Hon. Gregory A. Pulskamp
228,"Superior Court of California, County of Kern",Hon. Stephen D. Schuett
229,"Superior Court of California, County of Kern",Hon. John S. Somers
230,"Superior Court of California, County of Kern",Hon. Bryan K. Stainfield
231,"Superior Court of California, County of Kern",Hon. Robert S. Tafoya
232,"Superior Court of California, County of Kern",Hon. Kenneth C. Twisselman II
233,"Superior Court of California, County of Kern",Hon. Louie L. Vega
234,"Superior Court of California, County of Kern",Hon. David Wolf
235,"Superior Court of California, County of Kern",Hon. Ralph W. Wyatt
236,"Superior Court of California, County of Kern",Hon. David R. Zulfa
237,"Superior Court of California, County of Kings",Hon. Steven D. Barnes
238,"Superior Court of California, County of Kings",Hon. Robert S. Burns
239,"Superior Court of California, County of Kings",Hon. Valerie R. Chrissakis
240,"Superior Court of California, County of Kings",Hon. Kathy Ciuffini
241,"Superior Court of California, County of Kings",Hon. Randy L. Edwards
242,"Superior Court of California, County of Kings",Hon. Jennifer Lee Giuliani
243,"Superior Court of California, County of Kings",Hon. Michael J. Reinhart
244,"Superior Court of California, County of Kings",Hon. Donna L. Tarter
245,"Superior Court of California, County of Lake",Hon. Andrew S. Blum
246,"Superior Court of California, County of Lake",Hon. Shanda Harry
247,"Superior Court of California, County of Lake",Hon. Stephen Owen Hedstrom
248,"Superior Court of California, County of Lake",Hon. Michael S. Lunas
249,"Superior Court of California, County of Lake",Hon. J. David Markham
250,"Superior Court of California, County of Lassen",Hon. Tony R. Mallery
251,"Superior Court of California, County of Lassen",Hon. Mark R. Nareau
252,"Superior Court of California, County of Los Angeles",Hon. Michael D. Abzug
253,"Superior Court of California, County of Los Angeles",Hon. Efrain Matthew Aceves
254,"Superior Court of California, County of Los Angeles",Hon. Rashida A. Adams
255,"Superior Court of California, County of Los Angeles",Hon. Fernando L Aenlle-Rocha
256,"Superior Court of California, County of Los Angeles",Hon. Michelle M. Ahnn
257,"Superior Court of California, County of Los Angeles",Hon. Gregory Wilson Alarcon
258,"Superior Court of California, County of Los Angeles",Hon. Michael R. Amerian
259,"Superior Court of California, County of Los Angeles",Hon. Robert P. Applegate
260,"Superior Court of California, County of Los Angeles",Hon. Akemi D. Arakaki
261,"Superior Court of California, County of Los Angeles",Hon. Debra Archuleta
262,"Superior Court of California, County of Los Angeles",Hon. Maria Lucy Armendariz
263,"Superior Court of California, County of Los Angeles",Hon. Mark S. Arnold
