,COUNTY,JUDGES,CITY
1034,"Superior Court of California, County of Sacramento",Michael G. Bowman,Sacramento
1035,"Superior Court of California, County of Sacramento",David I. Brown,Sacramento
1036,"Superior Court of California, County of Sacramento",Lawrence G. Brown,Sacramento
1037,"Superior Court of California, County of Sacramento",Trena H. Burger-Plavan,Sacramento
1038,"Superior Court of California, County of Sacramento",Daniel J. Calabretta,Sacramento
1039,"Superior Court of California, County of Sacramento",Shelleyanne W. L. Chang,Sacramento
1040,"Superior Court of California, County of Sacramento",Kevin R. Culhane,Sacramento
1041,"Superior Court of California, County of Sacramento",Donald J. Currier,Sacramento
1042,"Superior Court of California, County of Sacramento",Lauri A. Damrell,Sacramento
1043,"Superior Court of California, County of Sacramento",Benjamin G. Davidian,Sacramento
1044,"Superior Court of California, County of Sacramento",David De Alba,Sacramento
1045,"Superior Court of California, County of Sacramento",Laurie M. Earl,Sacramento
1046,"Superior Court of California, County of Sacramento",Curtis M. Fiorini,Sacramento
1047,"Superior Court of California, County of Sacramento",Matthew J. Gary,Sacramento
1048,"Superior Court of California, County of Sacramento",Steven M. Gevercer,Sacramento
1049,"Superior Court of California, County of Sacramento",Maryanne G. Gilliard,Sacramento
1050,"Superior Court of California, County of Sacramento",Geoffrey A. Goodman,Sacramento
1051,"Superior Court of California, County of Sacramento",Helena R. Gweon,Sacramento
1052,"Superior Court of California, County of Sacramento",Judy Holzer Hersher,Sacramento
1053,"Superior Court of California, County of Sacramento",Russell L. Hom,Sacramento
1054,"Superior Court of California, County of Sacramento",Michael P. Kenny,Sacramento
1055,"Superior Court of California, County of Sacramento",Christopher E. Krueger,Sacramento
1056,"Superior Court of California, County of Sacramento",R. Steven Lapham,Sacramento
1057,"Superior Court of California, County of Sacramento",Alyson L. Lewis,Sacramento
1058,"Superior Court of California, County of Sacramento",Sharon A. Lueras,Sacramento
1059,"Superior Court of California, County of Sacramento",Patrick Marlette,Sacramento
1060,"Superior Court of California, County of Sacramento",Kevin J. McCormick,Sacramento
1061,"Superior Court of California, County of Sacramento",James E. McFetridge,Sacramento
1062,"Superior Court of California, County of Sacramento","Kenneth C. Mennemeier, Jr.",Sacramento
1063,"Superior Court of California, County of Sacramento",Shama Hakim Mesiwala,Sacramento
1064,"Superior Court of California, County of Sacramento",James M. Mize,Sacramento
1065,"Superior Court of California, County of Sacramento",Delbert W. Oros,Sacramento
1066,"Superior Court of California, County of Sacramento",Alan G. Perkins,Sacramento
1067,"Superior Court of California, County of Sacramento",Jennifer K. Rockwell,Sacramento
1068,"Superior Court of California, County of Sacramento",Jaime R. Román,Sacramento
1069,"Superior Court of California, County of Sacramento",Michael A. Savage,Sacramento
1070,"Superior Court of California, County of Sacramento",Ernest W. Sawtelle,Sacramento
1071,"Superior Court of California, County of Sacramento",Paul L. Seave,Sacramento
1072,"Superior Court of California, County of Sacramento",Pamela L. Smith-Steward,Sacramento
1073,"Superior Court of California, County of Sacramento",Richard K. Sueyoshi,Sacramento
1074,"Superior Court of California, County of Sacramento",Allen H. Sumner,Sacramento
1075,"Superior Court of California, County of Sacramento",Michael W. Sweet,Sacramento
1076,"Superior Court of California, County of Sacramento",Jill H. Talley,Sacramento
1077,"Superior Court of California, County of Sacramento",Scott L. Tedmon,Sacramento
1078,"Superior Court of California, County of Sacramento",Raoul M. Thorbourne,Sacramento
1079,"Superior Court of California, County of Sacramento",Robert M. Twiss,Sacramento
1080,"Superior Court of California, County of Sacramento",Emily E. Vasquez,Sacramento
1081,"Superior Court of California, County of Sacramento",Laurel D. White,Sacramento
1082,"Superior Court of California, County of Sacramento",Steve White,Sacramento
1083,"Superior Court of California, County of Sacramento",John P. Winn,Sacramento
1084,"Superior Court of California, County of Sacramento",Gerrit W. Wood,Sacramento
1085,"Superior Court of California, County of San Benito",Jose Omar Rodriquez,San Benito
1086,"Superior Court of California, County of San Benito",Steven R. Sanders,San Benito
1087,"Superior Court of California, County of San Benito",Harry J. Tobias,San Benito
1088,"Superior Court of California, County of San Bernardino",Joel S. Agron,San Bernardino
1089,"Superior Court of California, County of San Bernardino",Erin K. Alexander,San Bernardino
1090,"Superior Court of California, County of San Bernardino",Donald R. Alvarez,San Bernardino
1091,"Superior Court of California, County of San Bernardino",Khymberli S.Y. Apaloo,San Bernardino
1092,"Superior Court of California, County of San Bernardino",Lorenzo R. Balderrama,San Bernardino
1093,"Superior Court of California, County of San Bernardino",Teresa M. Bennett,San Bernardino
1094,"Superior Court of California, County of San Bernardino",Colin J. Bilash,San Bernardino
1095,"Superior Court of California, County of San Bernardino",Kyle S. Brodie,San Bernardino
1096,"Superior Court of California, County of San Bernardino",Carlos M Cabrera,San Bernardino
1097,"Superior Court of California, County of San Bernardino",Michael A. Camber,San Bernardino
1098,"Superior Court of California, County of San Bernardino",Ronald M. Christianson,San Bernardino
1099,"Superior Court of California, County of San Bernardino",David S. Cohn,San Bernardino
1100,"Superior Court of California, County of San Bernardino",Rodney A. Cortez,San Bernardino
1101,"Superior Court of California, County of San Bernardino",Keith D. Davis,San Bernardino
1102,"Superior Court of California, County of San Bernardino",Daniel W. Detienne,San Bernardino
1103,"Superior Court of California, County of San Bernardino",David E. Driscoll,San Bernardino
1104,"Superior Court of California, County of San Bernardino",Denise Trager Dvorak,San Bernardino
1105,"Superior Court of California, County of San Bernardino",Jon D. Ferguson,San Bernardino
1106,"Superior Court of California, County of San Bernardino",Bryan F. Foster,San Bernardino
1107,"Superior Court of California, County of San Bernardino",Janet M. Frangie,San Bernardino
1108,"Superior Court of California, County of San Bernardino",Donna G. Garza,San Bernardino
1109,"Superior Court of California, County of San Bernardino",Thomas S. Garza,San Bernardino
1110,"Superior Court of California, County of San Bernardino",Michelle H. Gilleece,San Bernardino
1111,"Superior Court of California, County of San Bernardino",Raymond L. Haight III,San Bernardino
1112,"Superior Court of California, County of San Bernardino",Debra Harris,San Bernardino
1113,"Superior Court of California, County of San Bernardino",Arthur Harrison,San Bernardino
1114,"Superior Court of California, County of San Bernardino",James J. Hosking,San Bernardino
1115,"Superior Court of California, County of San Bernardino",Cara D. Hutson,San Bernardino
1116,"Superior Court of California, County of San Bernardino",Winston S. Keh,San Bernardino
1117,"Superior Court of California, County of San Bernardino",Cheryl C. Kersey,San Bernardino
1118,"Superior Court of California, County of San Bernardino",Pamela P. King,San Bernardino
1119,"Superior Court of California, County of San Bernardino",Michael A. Knish,San Bernardino
1120,"Superior Court of California, County of San Bernardino",Corey G. Lee,San Bernardino
1121,"Superior Court of California, County of San Bernardino",Michael R. Libutti,San Bernardino
1122,"Superior Court of California, County of San Bernardino",Steve Malone,San Bernardino
1123,"Superior Court of California, County of San Bernardino",Steven A. Mapes,San Bernardino
1124,"Superior Court of California, County of San Bernardino",Christopher B. Marshall,San Bernardino
1125,"Superior Court of California, County of San Bernardino",Alexander R. Martinez,San Bernardino
1126,"Superior Court of California, County of San Bernardino",J. David Mazurek,San Bernardino
1127,"Superior Court of California, County of San Bernardino",Bridgid M. McCann,San Bernardino
1128,"Superior Court of California, County of San Bernardino",Brian S. McCarville,San Bernardino
1129,"Superior Court of California, County of San Bernardino",Dwight W. Moore,San Bernardino
1130,"Superior Court of California, County of San Bernardino",Miriam Ivy Morton,San Bernardino
1131,"Superior Court of California, County of San Bernardino",Eric M. Nakata,San Bernardino
1132,"Superior Court of California, County of San Bernardino",Gilbert G. Ochoa,San Bernardino
1133,"Superior Court of California, County of San Bernardino",Annemarie G. Pace,San Bernardino
1134,"Superior Court of California, County of San Bernardino",John M. Pacheco,San Bernardino
1135,"Superior Court of California, County of San Bernardino",Christopher S. Pallone,San Bernardino
1136,"Superior Court of California, County of San Bernardino",Richard V. Peel,San Bernardino
1137,"Superior Court of California, County of San Bernardino",Elia V. Pirozzi,San Bernardino
1138,"Superior Court of California, County of San Bernardino",Lynn M. Poncin,San Bernardino
1139,"Superior Court of California, County of San Bernardino",William Jefferson Powell IV,San Bernardino
1140,"Superior Court of California, County of San Bernardino",Tony Raphael,San Bernardino
1141,"Superior Court of California, County of San Bernardino",Stanford E. Reichert,San Bernardino
1142,"Superior Court of California, County of San Bernardino",Tara Reilly,San Bernardino
1143,"Superior Court of California, County of San Bernardino",Jay H. Robinson,San Bernardino
1144,"Superior Court of California, County of San Bernardino",Lisa M. Rogan,San Bernardino
1145,"Superior Court of California, County of San Bernardino",Michael A. Sachs,San Bernardino
1146,"Superior Court of California, County of San Bernardino",Stephan G. Saleson,San Bernardino
1147,"Superior Court of California, County of San Bernardino","Wilfred J. Schneider, Jr.",San Bernardino
1148,"Superior Court of California, County of San Bernardino",Lily L. Sinfield,San Bernardino
1149,"Superior Court of California, County of San Bernardino",Steven J. Singley,San Bernardino
1150,"Superior Court of California, County of San Bernardino",Brian K. Stodghill,San Bernardino
1151,"Superior Court of California, County of San Bernardino",Gregory S. Tavill,San Bernardino
1152,"Superior Court of California, County of San Bernardino",Stephanie E. Thornton-Harris,San Bernardino
1153,"Superior Court of California, County of San Bernardino",John M. Tomberlin,San Bernardino
1154,"Superior Court of California, County of San Bernardino",Ingrid Adamson Uhler,San Bernardino
1155,"Superior Court of California, County of San Bernardino",Charles J. Umeda,San Bernardino
1156,"Superior Court of California, County of San Bernardino",John P. Vander Feer,San Bernardino
1157,"Superior Court of California, County of San Bernardino",Katrina West,San Bernardino
1158,"Superior Court of California, County of San Bernardino",David A. Williams,San Bernardino
1159,"Superior Court of California, County of San Bernardino","Harold T. Wilson, Jr.",San Bernardino
1160,"Superior Court of California, County of San Bernardino",R. Glenn Yabuno,San Bernardino
1161,"Superior Court of California, County of San Diego",Lorna A. Alksne,San Diego
1162,"Superior Court of California, County of San Diego",Robert O. Amador,San Diego
1163,"Superior Court of California, County of San Diego",Carlos O. Armour,San Diego
1164,"Superior Court of California, County of San Diego",Katherine A. Bacal,San Diego
1165,"Superior Court of California, County of San Diego",Jeffrey B. Barton,San Diego
1166,"Superior Court of California, County of San Diego",Daniel S. Belsky,San Diego
1167,"Superior Court of California, County of San Diego",David L. Berry,San Diego
1168,"Superior Court of California, County of San Diego",Frank L. Birchak,San Diego
1169,"Superior Court of California, County of San Diego",Laura J. Birkmeyer,San Diego
1170,"Superior Court of California, County of San Diego",Jay M. Bloom,San Diego
1171,"Superior Court of California, County of San Diego",Jeffrey S. Bostwick,San Diego
1172,"Superior Court of California, County of San Diego",Blaine K. Bowman,San Diego
1173,"Superior Court of California, County of San Diego",Matthew C. Braner,San Diego
1174,"Superior Court of California, County of San Diego",Joseph P. Brannigan,San Diego
1175,"Superior Court of California, County of San Diego",David G. Brown,San Diego
1176,"Superior Court of California, County of San Diego",Desiree A. Bruce-Lyle,San Diego
1177,"Superior Court of California, County of San Diego",Gary M. Bubis,San Diego
1178,"Superior Court of California, County of San Diego",Carolyn M. Caietti,San Diego
1179,"Superior Court of California, County of San Diego",Enrique E. Camarena,San Diego
1180,"Superior Court of California, County of San Diego",Yvonne Esperanza Campos,San Diego
1181,"Superior Court of California, County of San Diego",Rachel Cano,San Diego
1182,"Superior Court of California, County of San Diego",Timothy M. Casserly,San Diego
1183,"Superior Court of California, County of San Diego",Shereen J. Charlick,San Diego
1184,"Superior Court of California, County of San Diego",Patricia K. Cookson,San Diego
1185,"Superior Court of California, County of San Diego",Robert P. Dahlquist,San Diego
1186,"Superior Court of California, County of San Diego",Cindy Dobler Davis,San Diego
1187,"Superior Court of California, County of San Diego",Peter C. Deddeh,San Diego
1188,"Superior Court of California, County of San Diego",Francis M. Devaney,San Diego
1189,"Superior Court of California, County of San Diego",Truc T. Do,San Diego
1190,"Superior Court of California, County of San Diego",Laura E Duffy,San Diego
1191,"Superior Court of California, County of San Diego",Harry M. Elias,San Diego
1192,"Superior Court of California, County of San Diego",Kevin A. Enright,San Diego
1193,"Superior Court of California, County of San Diego",Selena D. Epley,San Diego
1194,"Superior Court of California, County of San Diego",Ana L. España,San Diego
1195,"Superior Court of California, County of San Diego",Herbert J. Exarhos,San Diego
1196,"Superior Court of California, County of San Diego",Eugenia A. Eyherabide,San Diego
1197,"Superior Court of California, County of San Diego",Jeffrey F. Fraser,San Diego
1198,"Superior Court of California, County of San Diego",Ronald F. Frazier,San Diego
1199,"Superior Court of California, County of San Diego",Cynthia A. Freeland,San Diego
1200,"Superior Court of California, County of San Diego",Loren G. Freestone,San Diego
1201,"Superior Court of California, County of San Diego",Peter L. Gallagher,San Diego
1202,"Superior Court of California, County of San Diego",Patricia Garcia,San Diego
1203,"Superior Court of California, County of San Diego",Marian F. Gaston,San Diego
1204,"Superior Court of California, County of San Diego",Charles R. Gill,San Diego
1205,"Superior Court of California, County of San Diego",David M. Gill,San Diego
1206,"Superior Court of California, County of San Diego",Daniel B. Goldstein,San Diego
1207,"Superior Court of California, County of San Diego",Michael S. Groch,San Diego
1208,"Superior Court of California, County of San Diego",Garry G. Haehnle,San Diego
1209,"Superior Court of California, County of San Diego",Laura W. Halgren,San Diego
1210,"Superior Court of California, County of San Diego",Maureen F. Hallahan,San Diego
1211,"Superior Court of California, County of San Diego",Louis R. Hanoian,San Diego
1212,"Superior Court of California, County of San Diego",Albert T. Harutunian III,San Diego
1213,"Superior Court of California, County of San Diego",Esteban Hernández,San Diego
1214,"Superior Court of California, County of San Diego",Margo Lewis Hoy,San Diego
1215,"Superior Court of California, County of San Diego",Tamila E. Ipema,San Diego
1216,"Superior Court of California, County of San Diego",Gerald C. Jessop,San Diego
1217,"Superior Court of California, County of San Diego",Sharon L. Kalemkiarian,San Diego
1218,"Superior Court of California, County of San Diego",Gale E. Kaneshiro,San Diego
1219,"Superior Court of California, County of San Diego",Aaron H. Katz,San Diego
1220,"Superior Court of California, County of San Diego",Keri G. Katz,San Diego
1221,"Superior Court of California, County of San Diego",Robert J. Kearney,San Diego
1222,"Superior Court of California, County of San Diego",Julia Craig Kelety,San Diego
1223,"Superior Court of California, County of San Diego",K. Michael Kirkman,San Diego
1224,"Superior Court of California, County of San Diego",Evan P. Kirvin,San Diego
1225,"Superior Court of California, County of San Diego",Maryann D'Addezio Kotler,San Diego
1226,"Superior Court of California, County of San Diego",Roger W. Krauel,San Diego
1227,"Superior Court of California, County of San Diego",Gary G. Kreep,San Diego
1228,"Superior Court of California, County of San Diego",Kimberlee A. Lagotta,San Diego
1229,"Superior Court of California, County of San Diego",Daniel G. Lamborn,San Diego
1230,"Superior Court of California, County of San Diego",Melinda J. Lasater,San Diego
1231,"Superior Court of California, County of San Diego",Joan M. Lewis,San Diego
1232,"Superior Court of California, County of San Diego",Kathleen M. Lewis,San Diego
1233,"Superior Court of California, County of San Diego",Lantz Lewis,San Diego
1234,"Superior Court of California, County of San Diego",Daniel F. Link,San Diego
1235,"Superior Court of California, County of San Diego",Frederic L. Link,San Diego
1236,"Superior Court of California, County of San Diego",Robert C. Longstreth,San Diego
1237,"Superior Court of California, County of San Diego",Earl H. Maas III,San Diego
1238,"Superior Court of California, County of San Diego",Frederick Maguire,San Diego
1239,"Superior Court of California, County of San Diego",Runston G. Maino,San Diego
1240,"Superior Court of California, County of San Diego",Sharon B. Majors-Lewis,San Diego
1241,"Superior Court of California, County of San Diego",James A. Mangione,San Diego
1242,"Superior Court of California, County of San Diego",Tilisha Martin,San Diego
1243,"Superior Court of California, County of San Diego",Edlene C. McKenzie,San Diego
1244,"Superior Court of California, County of San Diego",Marcella O. McLaughlin,San Diego
1245,"Superior Court of California, County of San Diego",Kenneth J. Medel,San Diego
1246,"Superior Court of California, County of San Diego",John S. Meyer,San Diego
1247,"Superior Court of California, County of San Diego",Amalia L. Meza,San Diego
1248,"Superior Court of California, County of San Diego",Kelly C. Mok,San Diego
1249,"Superior Court of California, County of San Diego",Richard R. Monroy,San Diego
1250,"Superior Court of California, County of San Diego",Dwayne K. Moring,San Diego
1251,"Superior Court of California, County of San Diego",Robert F. O'Neill,San Diego
1252,"Superior Court of California, County of San Diego",David B. Oberholtzer,San Diego
1253,"Superior Court of California, County of San Diego",Adrienne A. Orfield,San Diego
1254,"Superior Court of California, County of San Diego",Pamela M. Parker,San Diego
1255,"Superior Court of California, County of San Diego",Laura H. Parsky,San Diego
1256,"Superior Court of California, County of San Diego",Gregory W. Pollack,San Diego
1257,"Superior Court of California, County of San Diego",Michael J. Popkins,San Diego
1258,"Superior Court of California, County of San Diego",Harry L. Powazek,San Diego
1259,"Superior Court of California, County of San Diego",Lisa R. Rodriguez,San Diego
1260,"Superior Court of California, County of San Diego",Charles G. Rogers,San Diego
1261,"Superior Court of California, County of San Diego",Paula S. Rosenstein,San Diego
1262,"Superior Court of California, County of San Diego",David M. Rubin,San Diego
1263,"Superior Court of California, County of San Diego",John B. Scherling,San Diego
1264,"Superior Court of California, County of San Diego",Polly H. Shamoon,San Diego
1265,"Superior Court of California, County of San Diego",Saba Sheibani,San Diego
1266,"Superior Court of California, County of San Diego",Roderick Ward Shelton,San Diego
1267,"Superior Court of California, County of San Diego",Howard H. Shore,San Diego
1268,"Superior Court of California, County of San Diego",James E. Simmons Jr,San Diego
1269,"Superior Court of California, County of San Diego",Michael T. Smyth,San Diego
1270,"Superior Court of California, County of San Diego",Kenneth K. So,San Diego
1271,"Superior Court of California, County of San Diego",Stephanie Sontag,San Diego
1272,"Superior Court of California, County of San Diego",Jacqueline M. Stern,San Diego
1273,"Superior Court of California, County of San Diego",Steven E. Stone,San Diego
1274,"Superior Court of California, County of San Diego",Richard E. L. Strauss,San Diego
1275,"Superior Court of California, County of San Diego",Eddie C. Sturgeon,San Diego
1276,"Superior Court of California, County of San Diego",Ronald L. Styn,San Diego
1277,"Superior Court of California, County of San Diego",Timothy B. Taylor,San Diego
1278,"Superior Court of California, County of San Diego",John M. Thompson,San Diego
1279,"Superior Court of California, County of San Diego",Randa Trapp,San Diego
1280,"Superior Court of California, County of San Diego",Robert J. Trentacosta,San Diego
1281,"Superior Court of California, County of San Diego","Leo Valentine, Jr.",San Diego
1282,"Superior Court of California, County of San Diego",Carlos Varela,San Diego
1283,"Superior Court of California, County of San Diego",Sim von Kalinowski,San Diego
1284,"Superior Court of California, County of San Diego",Timothy R. Walsh,San Diego
1285,"Superior Court of California, County of San Diego",Michael D. Washington,San Diego
1286,"Superior Court of California, County of San Diego",Theodore M. Weathers,San Diego
1287,"Superior Court of California, County of San Diego",Joan P. Weber,San Diego
1288,"Superior Court of California, County of San Diego",Bradley A. Weinreb,San Diego
1289,"Superior Court of California, County of San Diego",Richard S. Whitney,San Diego
1290,"Superior Court of California, County of San Diego",Browder A. Willis III,San Diego
1291,"Superior Court of California, County of San Diego",Joel R. Wohlfeil,San Diego
1292,"Superior Court of California, County of San Diego",William Y. Wood,San Diego
1293,"Superior Court of California, County of San Diego",Margie G. Woods,San Diego
1294,"Superior Court of California, County of San Francisco",Christine Van Aken,San Francisco
1295,"Superior Court of California, County of San Francisco",Michael I. Begert,San Francisco
1296,"Superior Court of California, County of San Francisco",Suzanne Ramos Bolanos,San Francisco
1297,"Superior Court of California, County of San Francisco",Angela M. Bradstreet,San Francisco
1298,"Superior Court of California, County of San Francisco",Susan M. Breall,San Francisco
1299,"Superior Court of California, County of San Francisco",Tracie L. Brown,San Francisco
1300,"Superior Court of California, County of San Francisco",Peter J. Busch,San Francisco
1301,"Superior Court of California, County of San Francisco",Teresa M. Caffese,San Francisco
1302,"Superior Court of California, County of San Francisco",Bruce E. Chan,San Francisco
1303,"Superior Court of California, County of San Francisco",Roger C. Chan,San Francisco
1304,"Superior Court of California, County of San Francisco",Andrew Y.S. Cheng,San Francisco
1305,"Superior Court of California, County of San Francisco",Linda Colfax,San Francisco
1306,"Superior Court of California, County of San Francisco",Brendan P. Conroy,San Francisco
1307,"Superior Court of California, County of San Francisco",Charles S. Crompton,San Francisco
1308,"Superior Court of California, County of San Francisco",Richard C. Darwin,San Francisco
1309,"Superior Court of California, County of San Francisco",Gail Dekreon,San Francisco
1310,"Superior Court of California, County of San Francisco",Harry M. Dorfman,San Francisco
1311,"Superior Court of California, County of San Francisco",Rochelle C. East,San Francisco
1312,"Superior Court of California, County of San Francisco",Samuel K. Feng,San Francisco
1313,"Superior Court of California, County of San Francisco",Eric R. Fleming,San Francisco
1314,"Superior Court of California, County of San Francisco",Daniel A. Flores,San Francisco
1315,"Superior Court of California, County of San Francisco",Loretta M. Giorgi,San Francisco
1316,"Superior Court of California, County of San Francisco",Alexandra Robert Gordon,San Francisco
1317,"Superior Court of California, County of San Francisco",Charles F. Haines,San Francisco
1318,"Superior Court of California, County of San Francisco",Christopher C. Hite,San Francisco
1319,"Superior Court of California, County of San Francisco",Victor Hwang,San Francisco
1320,"Superior Court of California, County of San Francisco",Teri L. Jackson,San Francisco
1321,"Superior Court of California, County of San Francisco",Harold E. Kahn,San Francisco
1322,"Superior Court of California, County of San Francisco",Curtis E.A. Karnow,San Francisco
1323,"Superior Court of California, County of San Francisco",Kathleen A. Kelly,San Francisco
1324,"Superior Court of California, County of San Francisco",Charlene P. Kiesselbach,San Francisco
1325,"Superior Court of California, County of San Francisco",Newton J. Lam,San Francisco
1326,"Superior Court of California, County of San Francisco",Cynthia Ming-mei Lee,San Francisco
1327,"Superior Court of California, County of San Francisco",Rita F. Lin,San Francisco
1328,"Superior Court of California, County of San Francisco",Anne-Christine Massullo,San Francisco
1329,"Superior Court of California, County of San Francisco",Michael B. McNaughton,San Francisco
1330,"Superior Court of California, County of San Francisco",Ross C. Moody,San Francisco
1331,"Superior Court of California, County of San Francisco",Stephen M. Murphy,San Francisco
1332,"Superior Court of California, County of San Francisco",Joseph M. Quinn,San Francisco
1333,"Superior Court of California, County of San Francisco",Sharon M. Reardon,San Francisco
1334,"Superior Court of California, County of San Francisco",A. James Robertson II,San Francisco
1335,"Superior Court of California, County of San Francisco",Jeffrey S. Ross,San Francisco
1336,"Superior Court of California, County of San Francisco",Gerardo C. Sandoval,San Francisco
1337,"Superior Court of California, County of San Francisco",Ethan P. Schulman,San Francisco
1338,"Superior Court of California, County of San Francisco",John Kennedy Stewart,San Francisco
1339,"Superior Court of California, County of San Francisco",Edward Torpoco,San Francisco
1340,"Superior Court of California, County of San Francisco","Richard B. Ulmer, Jr.",San Francisco
1341,"Superior Court of California, County of San Francisco",Monica F. Wiley,San Francisco
1342,"Superior Court of California, County of San Francisco",Mary E. Wiss,San Francisco
1343,"Superior Court of California, County of San Francisco",Garrett L. Wong,San Francisco
1344,"Superior Court of California, County of San Francisco",Braden C. Woods,San Francisco
1345,"Superior Court of California, County of San Francisco",Carol Yaggy,San Francisco
1346,"Superior Court of California, County of San Joaquin","George J. Abdallah, Jr.",San Joaquin
1347,"Superior Court of California, County of San Joaquin",Antonino J. Agbayani,San Joaquin
1348,"Superior Court of California, County of San Joaquin",Jose L. Alva,San Joaquin
1349,"Superior Court of California, County of San Joaquin",Robin Appel,San Joaquin
1350,"Superior Court of California, County of San Joaquin","Gus C. Barrera, II",San Joaquin
1351,"Superior Court of California, County of San Joaquin",Michael D. Coughlan,San Joaquin
1352,"Superior Court of California, County of San Joaquin",Kristine A. Eagle,San Joaquin
1353,"Superior Court of California, County of San Joaquin",Bernard J. Garber,San Joaquin
1354,"Superior Court of California, County of San Joaquin",Richard J. Guiliani,San Joaquin
1355,"Superior Court of California, County of San Joaquin",Lesley D. Holland,San Joaquin
1356,"Superior Court of California, County of San Joaquin",Carter P. Holly,San Joaquin
1357,"Superior Court of California, County of San Joaquin","Seth R. Hoyt, Jr.",San Joaquin
1358,"Superior Court of California, County of San Joaquin",Elizabeth Humphreys,San Joaquin
1359,"Superior Court of California, County of San Joaquin",William D. Johnson,San Joaquin
1360,"Superior Court of California, County of San Joaquin",Barbara A. Kronlund,San Joaquin
1361,"Superior Court of California, County of San Joaquin",Linda L. Lofthus,San Joaquin
1362,"Superior Court of California, County of San Joaquin",Anthony P. Lucaccini,San Joaquin
1363,"Superior Court of California, County of San Joaquin",Richard M. Mallett,San Joaquin
1364,"Superior Court of California, County of San Joaquin",Brett H. Morgan,San Joaquin
1365,"Superior Court of California, County of San Joaquin","Michael J. Mulvihill, Jr.",San Joaquin
1366,"Superior Court of California, County of San Joaquin",Ronald A. Northup,San Joaquin
1367,"Superior Court of California, County of San Joaquin",Charlotte J. Orcutt,San Joaquin
1368,"Superior Court of California, County of San Joaquin",Roger Ross,San Joaquin
1369,"Superior Court of California, County of San Joaquin",W. Stephen Scott,San Joaquin
1370,"Superior Court of California, County of San Joaquin",John R Soldati,San Joaquin
1371,"Superior Court of California, County of San Joaquin",Lauren P. Thomasson,San Joaquin
1372,"Superior Court of California, County of San Joaquin",Phillip R. Urie,San Joaquin
1373,"Superior Court of California, County of San Joaquin",Xapuri Villapudua,San Joaquin
1374,"Superior Court of California, County of San Joaquin",Richard Vlavianos,San Joaquin
1375,"Superior Court of California, County of San Luis Obispo",Hernaldo J. Baltodano,San
1376,"Superior Court of California, County of San Luis Obispo",Tana L Coates,San
1377,"Superior Court of California, County of San Luis Obispo",Charles S. Crandall,San
1378,"Superior Court of California, County of San Luis Obispo",Jacquelyn H. Duffy,San
1379,"Superior Court of California, County of San Luis Obispo",Rita Coyne Federman,San
1380,"Superior Court of California, County of San Luis Obispo",Ginger E. Garrett,San
1381,"Superior Court of California, County of San Luis Obispo",Matthew G. Guerrero,San
1382,"Superior Court of California, County of San Luis Obispo",Dodie A. Harman,San
1383,"Superior Court of California, County of San Luis Obispo",Linda D. Hurst,San
1384,"Superior Court of California, County of San Luis Obispo",Jesse John Marino,San
1385,"Superior Court of California, County of San Luis Obispo",Gayle L. Peron,San
1386,"Superior Court of California, County of San Luis Obispo",Craig B. Van Rooyen,San
1387,"Superior Court of California, County of San Mateo",Donald J. Ayoob,San Mateo
1388,"Superior Court of California, County of San Mateo",Gerald J. Buchwald,San Mateo
1389,"Superior Court of California, County of San Mateo",Danny Y. Chou,San Mateo
1390,"Superior Court of California, County of San Mateo",Clifford V. Cretan,San Mateo
1391,"Superior Court of California, County of San Mateo",Sean Dabel,San Mateo
1392,"Superior Court of California, County of San Mateo",Leland Davis III,San Mateo
1393,"Superior Court of California, County of San Mateo",Marta S. Diaz,San Mateo
1394,"Superior Court of California, County of San Mateo",Richard H. DuBois,San Mateo
1395,"Superior Court of California, County of San Mateo",Susan I. Etezadi,San Mateo
1396,"Superior Court of California, County of San Mateo",Nancy Fineman,San Mateo
1397,"Superior Court of California, County of San Mateo",Jeffrey R. Finigan,San Mateo
1398,"Superior Court of California, County of San Mateo",Robert D. Foiles,San Mateo
1399,"Superior Court of California, County of San Mateo",Mark R. Forcum,San Mateo
1400,"Superior Court of California, County of San Mateo",Don R. Franchi,San Mateo
1401,"Superior Court of California, County of San Mateo",Stephanie Garratt,San Mateo
1402,"Superior Court of California, County of San Mateo",John L. Grandsaert,San Mateo
1403,"Superior Court of California, County of San Mateo",Susan L. Greenberg,San Mateo
1404,"Superior Court of California, County of San Mateo",Elizabeth M. Hill,San Mateo
1405,"Superior Court of California, County of San Mateo",Susan M. Jakubowski,San Mateo
1406,"Superior Court of California, County of San Mateo",Jonathan Karesh,San Mateo
1407,"Superior Court of California, County of San Mateo",Amarra A. Lee,San Mateo
1408,"Superior Court of California, County of San Mateo",Elizabeth Lee,San Mateo
1409,"Superior Court of California, County of San Mateo",George A. Miram,San Mateo
1410,"Superior Court of California, County of San Mateo",Lisa A. Novak,San Mateo
1411,"Superior Court of California, County of San Mateo",Joseph C. Scott,San Mateo
1412,"Superior Court of California, County of San Mateo",V. Raymond Swope,San Mateo
1413,"Superior Court of California, County of San Mateo",Marie S. Weiner,San Mateo
1414,"Superior Court of California, County of Santa Barbara",Thomas R. Adams,Santa Barbara
1415,"Superior Court of California, County of Santa Barbara",Thomas P. Anderle,Santa Barbara
1416,"Superior Court of California, County of Santa Barbara",Clifford R. Anderson III,Santa Barbara
