,State,County,Cases,Deaths,Date_of_minig
270,IL,Douglas County,<20,0,2020-04-30
271,CA,El Dorado County,44,0,2020-04-30
272,ID,Canyon County,250,<20,2020-04-30
273,ID,Cassia County,<20,<20,2020-04-30
274,GA,Hart County,<20,0,2020-04-30
275,IA,Floyd County,0,0,2020-04-30
276,CO,Broomfield County and City,145,<20,2020-04-30
277,GA,Sumter County,369,26,2020-04-30
278,CA,Fresno County,521,<20,2020-04-30
279,FL,Lafayette County,<20,0,2020-04-30
280,IA,Wayne County,0,0,2020-04-30
281,KS,Wichita County,0,0,2020-04-30
282,GA,Johnson County,39,<20,2020-04-30
283,GA,Effingham County,34,<20,2020-04-30
284,HI,Honolulu County,396,<20,2020-04-30
285,CO,Mineral County,<20,0,2020-04-30
286,AL,Lee County,377,25,2020-04-30
287,IL,Mason County,<20,0,2020-04-30
288,CA,Siskiyou County,<20,0,2020-04-30
289,GA,Bacon County,22,<20,2020-04-30
290,IL,Montgomery County,24,<20,2020-04-30
291,GA,Fulton County,2720,108,2020-04-30
292,AL,Mobile County,994,46,2020-04-30
293,IA,Harrison County,<20,0,2020-04-30
294,IN,Dubois County,<20,0,2020-04-30
295,GA,Banks County,<20,0,2020-04-30
296,AR,Hempstead County,<20,<20,2020-04-30
297,GA,Pulaski County,25,<20,2020-04-30
298,IL,Perry County,<20,0,2020-04-30
299,AL,Morgan County,68,0,2020-04-30
300,IL,Crawford County,<20,0,2020-04-30
301,CO,Routt County,55,<20,2020-04-30
302,CO,Saguache County,<20,0,2020-04-30
303,IL,Effingham County,<20,<20,2020-04-30
304,CA,Amador County,<20,0,2020-04-30
305,GA,Spalding County,198,<20,2020-04-30
306,AR,Lonoke County,40,0,2020-04-30
307,IN,Switzerland County,<20,0,2020-04-30
308,GA,Jones County,28,0,2020-04-30
309,CA,Colusa County,<20,0,2020-04-30
310,IN,Henry County,36,<20,2020-04-30
311,IA,Winnebago County,<20,0,2020-04-30
312,IN,Warrick County,84,<20,2020-04-30
313,CA,Alpine County,<20,0,2020-04-30
314,FL,Lee County,990,40,2020-04-30
315,GA,Lamar County,35,<20,2020-04-30
316,IN,Tipton County,<20,<20,2020-04-30
317,CO,Baca County,<20,0,2020-04-30
318,AR,Miller County,33,<20,2020-04-30
319,CO,Clear Creek County,<20,<20,2020-04-30
320,IN,Vanderburgh County,126,<20,2020-04-30
321,IA,Wapello County,<20,0,2020-04-30
322,KS,Woodson County,<20,0,2020-04-30
323,GA,Terrell County,170,<20,2020-04-30
324,IN,Washington County,41,0,2020-04-30
325,IN,Knox County,20,0,2020-04-30
326,AR,Poinsett County,<20,<20,2020-04-30
327,FL,Leon County,213,<20,2020-04-30
328,CA,San Diego County,3314,118,2020-04-30
329,IA,Winneshiek County,<20,0,2020-04-30
330,CA,San Francisco County,1468,23,2020-04-30
331,AR,Polk County,<20,0,2020-04-30
332,AL,Henry County,22,<20,2020-04-30
333,GA,Brooks County,52,<20,2020-04-30
334,CO,Logan County,266,<20,2020-04-30
335,GA,Hall County,1177,<20,2020-04-30
336,AR,Crawford County,<20,0,2020-04-30
337,IL,Marion County,28,0,2020-04-30
338,AL,Jackson County,46,<20,2020-04-30
339,CA,Shasta County,31,<20,2020-04-30
340,IA,Emmet County,0,0,2020-04-30
341,FL,Suwannee County,128,<20,2020-04-30
342,IN,Hamilton County,729,41,2020-04-30
343,CA,Del Norte County,<20,0,2020-04-30
344,AK,Southeast Fairbanks Census Area,<20,0,2020-04-30
345,GA,Taliaferro County,0,0,2020-04-30
346,CA,Santa Barbara County,473,<20,2020-04-30
347,IA,Hamilton County,<20,0,2020-04-30
348,AR,Dallas County,<20,0,2020-04-30
349,GA,Jefferson County,<20,<20,2020-04-30
350,HI,Kauai County,21,0,2020-04-30
351,IN,Jefferson County,26,0,2020-04-30
352,AL,Lowndes County,53,<20,2020-04-30
353,AK,Yukon-Koyukuk Census Area,<20,0,2020-04-30
354,IL,Menard County,<20,0,2020-04-30
355,AR,Scott County,<20,0,2020-04-30
356,GA,Fayette County,171,<20,2020-04-30
357,CO,Montrose County,94,<20,2020-04-30
358,AR,Fulton County,<20,0,2020-04-30
359,IL,Cass County,27,0,2020-04-30
360,AR,Sevier County,<20,0,2020-04-30
361,IL,Champaign County,114,<20,2020-04-30
362,AR,Pike County,<20,0,2020-04-30
363,GA,Pickens County,23,<20,2020-04-30
364,GA,Baldwin County,202,<20,2020-04-30
365,AR,Craighead County,70,0,2020-04-30
366,GA,Pierce County,54,<20,2020-04-30
367,GA,Gilmer County,53,0,2020-04-30
368,AK,Skagway Municipality,0,0,2020-04-30
369,IL,Morgan County,21,<20,2020-04-30
370,IL,Cook County,33449,1457,2020-04-30
371,GA,Randolph County,156,<20,2020-04-30
372,HI,Hawaii County,70,0,2020-04-30
373,AL,Limestone County,44,0,2020-04-30
374,CO,San Juan County,0,0,2020-04-30
375,GA,Statewide Unallocated,942,<20,2020-04-30
376,GA,Atkinson County,<20,0,2020-04-30
377,AR,Grant County,<20,0,2020-04-30
378,GA,Habersham County,211,<20,2020-04-30
379,IN,Decatur County,195,21,2020-04-30
380,CA,Tehama County,<20,0,2020-04-30
381,IL,Randolph County,126,<20,2020-04-30
382,FL,Gilchrist County,<20,0,2020-04-30
383,IL,Moultrie County,<20,0,2020-04-30
384,IL,Edwards County,0,0,2020-04-30
385,AL,Monroe County,<20,<20,2020-04-30
386,IL,Clinton County,90,<20,2020-04-30
387,IL,Fayette County,<20,<20,2020-04-30
388,IL,Peoria County,78,<20,2020-04-30
389,IL,Coles County,22,<20,2020-04-30
390,GA,Putnam County,37,<20,2020-04-30
391,CA,Tuolumne County,<20,0,2020-04-30
392,AR,White County,31,<20,2020-04-30
393,IN,Fayette County,26,<20,2020-04-30
394,GA,Ben Hill County,25,0,2020-04-30
395,ID,Bonner County,<20,0,2020-04-30
396,CO,Rio Grande County,<20,0,2020-04-30
397,ID,Bonneville County,27,0,2020-04-30
398,ID,Camas County,<20,0,2020-04-30
399,IL,DeKalb County,82,<20,2020-04-30
400,CA,Statewide Unallocated,0,0,2020-04-30
401,CO,Archuleta County,<20,0,2020-04-30
402,IL,Pulaski County,<20,0,2020-04-30
403,GA,Seminole County,30,<20,2020-04-30
404,IA,Fayette County,<20,0,2020-04-30
405,IL,Putnam County,0,0,2020-04-30
406,FL,Hernando County,89,<20,2020-04-30
407,IN,Greene County,48,<20,2020-04-30
408,IL,Edgar County,0,0,2020-04-30
409,CA,Butte County,<20,0,2020-04-30
410,IN,Sullivan County,<20,0,2020-04-30
411,AR,Logan County,<20,0,2020-04-30
412,GA,Stephens County,71,<20,2020-04-30
413,IA,Fremont County,0,0,2020-04-30
414,IL,Grundy County,30,0,2020-04-30
415,FL,Hillsborough County,1080,22,2020-04-30
416,IN,Tippecanoe County,95,<20,2020-04-30
417,GA,Jackson County,78,<20,2020-04-30
418,CO,Cheyenne County,0,0,2020-04-30
419,IN,Howard County,158,<20,2020-04-30
420,IN,Union County,<20,0,2020-04-30
421,GA,Tattnall County,<20,0,2020-04-30
422,FL,Levy County,<20,0,2020-04-30
423,AR,Newton County,<20,0,2020-04-30
424,GA,Thomas County,173,<20,2020-04-30
425,IN,Wells County,<20,0,2020-04-30
426,KS,Wyandotte County,583,53,2020-04-30
427,GA,Lee County,312,<20,2020-04-30
428,CO,Washington County,<20,0,2020-04-30
429,GA,Liberty County,37,0,2020-04-30
430,IN,Kosciusko County,30,<20,2020-04-30
431,IL,Hancock County,<20,0,2020-04-30
432,AL,Franklin County,44,0,2020-04-30
433,KY,Allen County,<20,0,2020-04-30
434,GA,Long County,<20,0,2020-04-30
435,GA,Candler County,<20,0,2020-04-30
436,FL,Charlotte County,219,<20,2020-04-30
437,CT,Fairfield County,10874,747,2020-04-30
438,CO,Kiowa County,0,0,2020-04-30
439,AK,Petersburg Census Area,<20,<20,2020-04-30
440,CA,San Mateo County,1099,48,2020-04-30
441,AL,Lauderdale County,30,<20,2020-04-30
442,GA,Muscogee County,290,<20,2020-04-30
443,AR,Randolph County,<20,0,2020-04-30
444,CO,Crowley County,<20,<20,2020-04-30
445,IL,Bureau County,<20,0,2020-04-30
446,IL,Massac County,<20,0,2020-04-30
447,GA,Evans County,<20,0,2020-04-30
448,HI,Maui County,113,<20,2020-04-30
449,AL,Fayette County,<20,0,2020-04-30
450,FL,Broward County,4847,179,2020-04-30
451,GA,Laurens County,54,<20,2020-04-30
452,CA,San Benito County,50,<20,2020-04-30
453,CO,Jackson County,0,0,2020-04-30
454,CA,San Bernardino County,1827,85,2020-04-30
455,CA,San Joaquin County,529,25,2020-04-30
456,CO,Weld County,1618,88,2020-04-30
457,GA,Toombs County,28,<20,2020-04-30
458,IN,White County,42,0,2020-04-30
459,CO,Costilla County,<20,0,2020-04-30
